"Fichier"; "Série"; "Tome"; "Album"; "Année"; "Divers";
"A-Lan - 03 - Zéro day exploit - 2024@N_art_BD_FR.cbr	A-Lan - 03 - Zéro day exploit - (2024).cbr"; "A-Lan";  "03"; "Zéro day exploit"; "2024"; "@N_art_BD_FR";
"Abaddon (Bec - Carrey) - 03 - Aron - 2024@N_art_BD_FR.cbr"; "Abaddon"; "03"; "Aron"; "2024"; "(Bec - Carrey), @N_art_BD_FR";
"Altamont - OS (2023)@BD_fr.cbr	Altamont (2023).cbr"; "Altamont"; "";  ""; "2023"; "OS, @BD_fr";
"Alys Et Vicky - 02 - Recto-verso - 1999@N_art_BD_FR.cbr"; "Alys et Vicky"; "02"; "Recto-verso"; "1999"; "@N_art_BD_FR";
"Amère_Russie_INTa_L'histoire_complète_2015_2019@N_art_BD_FR.cbr"; "Amère Russie"; "INT"; "L'histoire complète"; ""; "2015 2019";
"Antipodes (David B.-Lambé)@N_art_BD_FR.cbr";	"Antipodes"; ""; ""; ""; "(David B.-Lambé),@N_art_BD_FR";
"Apparition dans le ciel de Berlin-Est - OS@BD_fr.cbz"; "Apparition dans le ciel de Berlin-Est"; ""; ""; ""; "OS,@BD_fr";
"Arabe_Du_Futur_L'_07_Moi,_Fadi_le_frère_volé_Tome_1_1986_1994_2024@N.cbr"; "L'arabe du futur"; "07"; "Moi, Fadi le frère volé"; "2024"; "Tome 1, 1986 1994";
"Arche de Néo (L) 01. À mort, les vaches !.cbz"; "L'Arche de Néo"; "01"; "À mort, les vaches !"; ""; "";
"Archéologie de l'intime Clothilde Delacroix 2024.cbr"; "Archéologie de l'intime"; ""; ""; "2024"; "Clothilde Delacroix";
"Cabane_à_étages_La_12_La_cabane_à_156_étages_2024@N_art_BD_FR.cbr"; "La cabane à étages"; "12"; "La cabane à 156 étages"; "2024"; "@N_art_BD_FR";
"Capitaine Flam - LEmpereur Éternel.cbz"; "Capitaine Flam"; ""; "L'empereur éternel"; ""; "";
"Capitaine Kaimann - OS - (L'Incal)@BD_fr.cbr"; "Capitaine Kaimann"; ""; ""; ""; "OS, (L'Incal), @BD_fr.cbr";
"Carmen_Bruneau_Bonacorsi_OS_La_sagesse_des_mythes,_contes_et_légendes@BD.cbz"; "La sagesse des mythes, contes et légendes"; ""; "Carmen"; ""; "Bruneau Bonacorsi, OS, @BD ";
"Carnets_de_Joann_Sfar_Les_06_Greffier_2007@N_art_BD_FR.cbr"; "Les carnets de Joann Sfar";  "06"; "Greffier"; "2007"; "@N_art_BD_FR";
