"Fichier";"Série";"Tome";"Album";"Année";"Divers"
"Petits métiers méconnus (Les) (Zabus et al.)@N_art_BD_FR.cbr";"Les petits métiers méconnus";"";"";"";"(Zabus et al.),@N_art_BD_FR";
"Phare_Le_Maréchal_Le_Phare_Valentin_Maréchal_2024@N_art_BD_FR.cbr";"Le Phare";"";"";"2024";"Maréchal, Valentin Maréchal, @N_art_BD_FR";
"Phoolan Devi - Reine des bandits - (Fauvel) (2024)@BD_fr.cbz";"Phoolan Devi";"";"Reine des bandits";"2024";"(Fauvel),@BD_fr";
"Pietrolino - T01 - Le clown frappeur@BD_fr.cbr";"Pietrolino";"01";"Le clown frappeur";"";"@BD_fr";
"Pietrolino - T02 - Un cri d'espoir@BD_fr.cbr";"Pietrolino";"02";"Un cri d'espoir";"";"@BD_fr";
"Pill Hill - OS - (Breutzman) (2023)@BD_fr.cbr";"Pill Hill";"";"";"2023";"(Breutzman),OS, @BD_fr";
"Pilleur de cimetières (Le)@BD_fr.cbz";"Le pilleur de cimetières";"";"";"";"@BD_fr";
"Pitcairn_l'île_des_révoltés_du_bounty_03_Révolte@BD_fr.cbz";"Pitcairn l'île des révoltes du bounty";"03";"Révolte";"";"@BD_fr";
"Piège_américain_Le_Les_dessous_de_l'affaire_Alstom_Aron_Duphot_2021@N.cbr";"Le piège américain";"";"Les dessous de l'affaire Alstom";"2021";"Aron Duphot, @N";
"Polka sur autoroute - One Shot (Dup)@N_art_BD_FR.cbr";"Polka sur autoroute";"";"";"";"(Dup),OS, @N_art_BD_FR";
"Pompidou_Du_Cantal_à_l'Elysée_Bertorello,_Bern_Fernandez@N_art_BD.cbr";"Pompidou";"";"Du Cantal à l'Elysée";"";"Bertorello, Bern Fernandez, @N_art_BD";
"Pop - 01 - Pop Porn - 2020@N_art_BD_FR.cbr";"Pop";"01";"Pop Porn";"2020";"@N_art_BD_FR";
